sha256	kept	removed	bytes
dc4a38d5ca2d755e6ee47cb66c1d16be36b19c259d8523965c9fefa568d63068	30_Pharmacopoeia/Nutritional/Centella asiatica.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Centella asiatica.md	1773
b6a0f748e2dd7f99c4a06945942eda51a980128be132f79139f18e47cf8cfa1c	30_Pharmacopoeia/Functional/Reishi triterpenoids.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Reishi triterpenoids.md	1441
4cf0f0447768cdf26f62cbd45eeb336656deb5e4653f285d9f436c3f31612702	30_Pharmacopoeia/Functional/Antimalarials.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Antimalarials.md	1349
f3c65078a8126073356d2e2cbf9771762a06d257430ae4e159d04ab93766ad66	30_Pharmacopoeia/Nutritional/Lycium barbarum.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Lycium barbarum.md	1849
8ec849e0a6473d4c7df63e4fd1b85f4485487b4cb37f7c3ded7c908064de2cb0	30_Pharmacopoeia/Nutritional/scopoletin.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/scopoletin.md	1871
22df5401ab735a0d534bfb6eb523e2dcf3866dd2e1a7e50584782764ef6e072b	30_Pharmacopoeia/Pneumatic/amphetamine.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/amphetamine.md	1577
bd1e95985fabc58c57bd50db92f0fe8e03efa995b377e6dfa577ce9797f58ab2	30_Pharmacopoeia/Chthonic/Conium maculatum.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Conium maculatum.md	1594
a9e2d580eed1d62d8300f771ffa22c47a5d53c883d42b1226334005ba27e978f	30_Pharmacopoeia/Nutritional/Acacia confusa.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Acacia confusa.md	1559
ca62f5a0796e7a8f675fe105293e91a8935a1c6be68360aca16b39a0b224a9c5	30_Pharmacopoeia/Nutritional/ethanol.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/ethanol.md	1714
2cbb15bdacc65881c580182104400b866a9550fde4d4cc2f8dd95405c8cdb8ee	30_Pharmacopoeia/Functional/Buspar.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Buspar.md	1713
69aca7bebeafac25dadb463f88adf6bbdd37ee50ba3dc4b574d22f64838a15f1	30_Pharmacopoeia/Nutritional/akuammine.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/akuammine.md	1703
f89ae7fb05592f04e79c9a0405cb206069cbeb5864cac031015889c435c49209	30_Pharmacopoeia/Nutritional/anemonin.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/anemonin.md	1664
b21637265caf9f00ef92767ce89d35fe50f6f070eb4a18057d512f62a86e854e	30_Pharmacopoeia/Functional/Ilex paraguariensis.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Ilex paraguariensis.md	1750
9119f1c80ec736475d14658e6aaee0c2028332edf40f0a38ec22d7713290d90f	30_Pharmacopoeia/Chthonic/Mandrake.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Mandrake.md	1525
98e8f30eeccc406b9df7ace8b63c25b9c629b1b086d270c2dd1e19c12616458b	30_Pharmacopoeia/Pneumatic/ibogaine.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/ibogaine.md	1939
deaee2ebe631539e80ebe44ad474fd1d9b583ad9875a427c0461c55624408415	30_Pharmacopoeia/Nutritional/lupeol.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/lupeol.md	1997
ad36b7e3b0e5b6fe52a721c2b8b4444c627523da82205ee498cb2d9d891b1279	30_Pharmacopoeia/Nutritional/jatamansone (valeranone.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/jatamansone (valeranone.md	1442
2405c35a6c4a1074ee13a50e759aa3675a3cd6ecd1e3e23b5a00edf930ad8cb8	30_Pharmacopoeia/Functional/Coriolus versicolor.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Coriolus versicolor.md	1778
897e004ab37fb09a0887d551f6481a2b142fda92e0f31f554d82417f7494204c	30_Pharmacopoeia/Nutritional/Lactuca virosa.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Lactuca virosa.md	1919
1fa3694ecf015b16065b7159f948785cc63a092068062b3e9e7aa1955a573036	30_Pharmacopoeia/Nutritional/Myrica gale.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Myrica gale.md	1422
d1487b9683daddb6208509f1cfcd78fb41e08f49a91c9e32603baa94f430fd46	30_Pharmacopoeia/Nutritional/Trichilia catigua.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/Trichilia catigua.md	1821
9f0e9b41d19d6ed9f8eacb31bf72bb26694b0eeb51f4224b629a355eac759925	30_Pharmacopoeia/Pneumatic/anhalonidine.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/anhalonidine.md	1700
0d86db32df33237f28743d184f934221486be1d7d3544b406fa781618172209d	30_Pharmacopoeia/Nutritional/isorhynchophylline.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/isorhynchophylline.md	1734
2f926be4b14319fe811e32f6437ba73b46fefee6233d2e24aafc5c18dbca3e5a	30_Pharmacopoeia/Functional/chlorogenic acid.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/chlorogenic acid.md	1795
632ad39a6a7d8d22c5d6e7eed274f15b22b95ef682859abf5a7d50ce3ee2b280	30_Pharmacopoeia/Pneumatic/ecstasy.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/ecstasy.md	1612
400bbac51fbce2e912407c915bb7bc5616f49293b3e4259f8d3fad5721a933cc	30_Pharmacopoeia/Functional/7-hydroxymitragynine.md	30_Pharmacopoeia/_pharmacopoeia-vault/Manus Compound Notes/7-hydroxymitragynine.md	1743
